402848	402848
151471	151471
1841111	1841111
5668	5668
65625	65625
82129	82129
78343	78343
92515	92515
104262	104262
649238	649238
78350	78350
367118	367118
268958	268958
1836233	1836233
100817	100817
506452	506452
1364806	1364806
76039	76039
1518843	1518843
10088	10088
130818	130818
1834028	1834028
1841625	1841625
74138	74138
114534	114534
67444	67444
1003958	1003958
62777	62777
1844402	1844402
1844865	1844865
535743	535743
86905	86905
1845326	1845326
1845429	1845429
105429	105429
70697	70697
1845720	1845720
402848	402848
1845867	1845867
1845867	1845867
164799	164799
211457	211457
70527	70527
851428	851428
99789	99789
358901	358901
68147	68147
6326	6326
8197	8197
1846984	1846984
1013068	1013068
90408	90408
717253	717253
1022113	1022113
1034090	1034090
75296	75296
683955	683955
1848398	1848398
1836670	1836670
1836670	1836670
13682171	13682171
1848435	1848435
90824	90824
1848674	1848674
144930	144930
78258	78258
8603087	8603087
1113250	1113250
69455	69455
79346	79346
215505	215505
1849175	1849175
74139	74139
66323	66323
9722	9722
1849657	1849657
1751438	1751438
1845073	1845073
1838771	1838771
1355874	1355874
1850049	1850049
1850592	1850592
640634	640634
143197	143197
7895	7895
116803	116803
1851254	1851254
231014	231014
939	939
149007	149007
149007	149007
149007	149007
149007	149007
149007	149007
1852046	1852046
82807	82807
177743	177743
69660	69660
1270457	1270457
890839	890839
1854933	1854933
95315	95315
1855322	1855322
119703	119703
8810512	8810512
1855799	1855799
50455	50455
171877	171877
52996	52996
1002878	1002878
685497	685497
8811250	8811250
177170	177170
25488	25488
433701	433701
1858229	1858229
1858871	1858871
36897	36897
434693	434693
1860393	1860393
88546	88546
88546	88546
79667	79667
79667	79667
8812823	8812823
